"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"238041595","2021-12-17T00:00:00.000","03:50:00","BROOKLYN",,"81","0",,,"false",,,,"25-44","M","BLACK","1004424","190270","40.68890919200004","-73.92725696099996","POINT (-73.92725696099996 40.68890919200004)"
"238040458","2021-12-17T00:00:00.000","20:59:00","MANHATTAN",,"34","0",,,"true",,,,"18-24","M","BLACK HISPANIC","1004796","255322","40.867458818000046","-73.92571667599998","POINT (-73.92571667599998 40.867458818000046)"
"238004075","2021-12-17T00:00:00.000","22:13:00","BROOKLYN",,"69","0",,"GROCERY/BODEGA","false","25-44","M","BLACK","25-44","M","BLACK","1011203","174515","40.64564719600002","-73.90287588699994","POINT (-73.90287588699994 40.64564719600002)"
"237963147","2021-12-16T00:00:00.000","11:20:00","BRONX",,"40","0",,,"false",,,,"25-44","F","BLACK","1008068","236071","40.81461223200006","-73.91395501999993","POINT (-73.91395501999993 40.81461223200006)"
"237963148","2021-12-16T00:00:00.000","21:00:00","BRONX",,"44","0",,,"false",,,,"25-44","M","BLACK","1007972","244067","40.836559230000034","-73.91427356599996","POINT (-73.91427356599996 40.836559230000034)"
"237963149","2021-12-16T00:00:00.000","01:34:00","STATEN ISLAND",,"123","0",,"PVT HOUSE","true",,,,"25-44","M","WHITE","933644","144843","40.56410019500004","-74.18213843799998","POINT (-74.18213843799998 40.56410019500004)"
"237963647","2021-12-16T00:00:00.000","03:11:00","QUEENS",,"108","0",,,"false","18-24","M","WHITE HISPANIC","25-44","M","WHITE","1010869","213852","40.753619024000045","-73.903923992","POINT (-73.903923992 40.753619024000045)"
"237963647","2021-12-16T00:00:00.000","03:11:00","QUEENS",,"108","0",,,"false","18-24","M","BLACK","25-44","M","WHITE","1010869","213852","40.753619024000045","-73.903923992","POINT (-73.903923992 40.753619024000045)"
"237963146","2021-12-16T00:00:00.000","09:45:00","MANHATTAN",,"30","0",,"GROCERY/BODEGA","true","18-24","M","BLACK HISPANIC","18-24","M","BLACK HISPANIC","999453","241204","40.82871989100005","-73.94506648099998","POINT (-73.94506648099998 40.82871989100005)"
"237908431","2021-12-15T00:00:00.000","20:36:00","QUEENS",,"110","0",,,"true",,,,"25-44","M","BLACK","1021926","207874","40.73717073000005","-73.86404887999998","POINT (-73.86404887999998 40.73717073000005)"
"237908431","2021-12-15T00:00:00.000","20:36:00","QUEENS",,"110","0",,,"false",,,,"25-44","M","BLACK","1021926","207874","40.73717073000005","-73.86404887999998","POINT (-73.86404887999998 40.73717073000005)"
"237852477","2021-12-14T00:00:00.000","19:29:00","BROOKLYN",,"70","0",,"GROCERY/BODEGA","true","25-44","M","BLACK","18-24","M","ASIAN / PACIFIC ISLANDER","995518","177276","40.65325938700005","-73.95939240299998","POINT (-73.95939240299998 40.65325938700005)"
"237800370","2021-12-14T00:00:00.000","01:14:00","MANHATTAN",,"24","0",,,"false",,,,"25-44","M","BLACK","992671","229824","40.797494030000045","-73.96958703499998","POINT (-73.96958703499998 40.797494030000045)"
"237827020","2021-12-14T00:00:00.000","11:46:00","BROOKLYN",,"73","0",,,"true",,,,"25-44","M","BLACK","1010535","185111","40.67473287700005","-73.90524172999993","POINT (-73.90524172999993 40.67473287700005)"
"237790497","2021-12-13T00:00:00.000","20:05:00","QUEENS",,"113","0",,"PVT HOUSE","true",,,,"25-44","M","BLACK","1042087","190443","40.689218058000044","-73.79144856999993","POINT (-73.79144856999993 40.689218058000044)"
"237740432","2021-12-12T00:00:00.000","10:09:00","BROOKLYN",,"73","0",,,"true",,,,"25-44","M","BLACK","1008858","186137","40.67755383600007","-73.91128371099995","POINT (-73.91128371099995 40.67755383600007)"
"237718487","2021-12-12T00:00:00.000","01:20:00","QUEENS",,"113","0",,,"false",,,,"25-44","F","BLACK","1049993","193207","40.69674937900004","-73.76291369499995","POINT (-73.76291369499995 40.69674937900004)"
"237715870","2021-12-12T00:00:00.000","01:29:00","BROOKLYN",,"71","0",,,"false",,,,"25-44","M","BLACK","997120","182082","40.666448616000025","-73.95360974299997","POINT (-73.95360974299997 40.666448616000025)"
